module,target,any_predefined_reached,robust_reached,scenario,trades,expectancy,profit_factor
meanrev,0.5,True,False,UNSUPPORTED,0,,
meanrev,0.6,False,False,UNSUPPORTED,0,,
meanrev,0.7,False,False,UNSUPPORTED,0,,
meanrev,0.75,False,False,UNSUPPORTED,0,,
pullback,0.5,True,False,UNSUPPORTED,0,,
pullback,0.6,False,False,UNSUPPORTED,0,,
pullback,0.7,False,False,UNSUPPORTED,0,,
pullback,0.75,False,False,UNSUPPORTED,0,,
breakout,0.5,True,False,UNSUPPORTED,0,,
breakout,0.6,True,False,UNSUPPORTED,0,,
breakout,0.7,False,False,UNSUPPORTED,0,,
breakout,0.75,False,False,UNSUPPORTED,0,,
squeeze,0.5,True,False,UNSUPPORTED,0,,
squeeze,0.6,False,False,UNSUPPORTED,0,,
squeeze,0.7,False,False,UNSUPPORTED,0,,
squeeze,0.75,False,False,UNSUPPORTED,0,,
