name,meaning,source_column,source_function,source_expression,dtype,module_applicability,available_at,safe_decision_time_feature,currently_used_as_hard_filter,diagnostic_only,numeric_shape_panel,note
open,open,open,src/diagnostics_context.py:106,"data[""open""]",float64,all/context,closed input bar close,True,True,False,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
high,high,high,src/diagnostics_context.py:107,"data[""high""]",float64,all/context,closed input bar close,True,True,False,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
low,low,low,src/diagnostics_context.py:108,"data[""low""]",float64,all/context,closed input bar close,True,True,False,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
close,close,close,src/diagnostics_context.py:109,"data[""close""]",float64,all/context,closed input bar close,True,True,False,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
volume,volume,volume,src/diagnostics_context.py:110,"data[""volume""]",int64,all/context,closed input bar close,True,True,False,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
is_swing,is swing,is_swing,src/diagnostics_context.py:116,is_swing,bool,all/context,closed input bar close,True,True,False,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
allow_long,allow long,allow_long,src/diagnostics_context.py:117,allow_long,bool,all/context,closed input bar close,True,True,False,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
allow_short,allow short,allow_short,src/diagnostics_context.py:118,allow_short,bool,all/context,closed input bar close,True,True,False,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
in_entry_session,in entry session,in_entry_session,src/diagnostics_context.py:152,in_entry_session,bool,all/context,closed input bar close,True,True,False,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
in_full_session,in full session,in_full_session,src/diagnostics_context.py:153,in_full_session,bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
session_ok,session ok,session_ok,src/diagnostics_context.py:161,"result[""in_entry_session""]",bool,all/context,closed input bar close,True,True,False,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
htf_ema_fast,htf ema fast,htf_ema_fast,src/diagnostics_context.py:176,"trend[""ema_fast""]",float64,all/context,closed input bar close,True,True,False,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
htf_ema_slow,htf ema slow,htf_ema_slow,src/diagnostics_context.py:177,"trend[""ema_slow""]",float64,all/context,closed input bar close,True,True,False,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
htf_adx,htf adx,htf_adx,src/diagnostics_context.py:178,"trend[""adx""]",float64,all/context,closed input bar close,True,True,False,True,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
adx_min,adx min,adx_min,src/diagnostics_context.py:186,adx_min,float64,all/context,closed input bar close,True,True,False,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
adx_ok,adx ok,adx_ok,src/diagnostics_context.py:188,"result[""htf_adx""] > result[""adx_min""]",bool,all/context,closed input bar close,True,True,False,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
uptrend,uptrend,uptrend,src/diagnostics_context.py:192,"(result[""htf_ema_fast""] > result[""htf_ema_slow""])
        & result[""adx_ok""]",bool,all/context,closed input bar close,True,True,False,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
